COUNTYFIPS,NAMELSAD,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
18137,Ripley County,Indiana,9,34.76299535,28.9,27.4,0.812497625
19103,Johnson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21131,Leslie County,Kentucky,10.7,100,23.6,37,4.938101078
28145,Union County,Mississippi,8.8,50.51595784,26.3,29.2,5.70424809
26037,Clinton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19029,Cass County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31093,Howard County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27127,Redwood County,Minnesota,9.9,42.26290554,25.2,29.1,11.66466486
48145,Falls County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48239,Jackson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51011,Appomattox County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
53061,Snohomish County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55001,Adams County,Wisconsin,10.4,36.24431138,18.5,27.9,3.651122609
1111,Randolph County,Alabama,11,36.80006983,22.5,24,13.18332823
13173,Lanier County,Georgia,8.8,48.72990673,16.1,22.7,0.236588948
5025,Cleveland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27019,Carver County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48303,Lubbock County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51179,Stafford County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55047,Green Lake County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12039,Gadsden County,Florida,16.1,48.84994287,33.1,40.7,2.694963049
17177,Stephenson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20013,Brown County,Kansas,9.6,54.9979968,25.3,34.6,13.68288498
26059,Hillsdale County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
