COUNTYFIPS,NAMELSAD,Latitude,Lng,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
5141,Van Buren County,35.5806,-92.5158,Arkansas,9.1,37.89534548,20.6,31.1,6.728546268
51650,Hampton city,37.0551,-76.363,Virginia,12.7,81.74568526,22.9,34.8,7.005272294
29091,Howell County,36.774,-91.8865,Missouri,11.9,59.24009901,24.8,30.3,10.41355457
40015,Caddo County,35.1744,-98.3751,Oklahoma,11.3,37.46283784,28.4,36.7,9.85488444
40031,Comanche County,34.6621,-98.4717,Oklahoma,12.4,50.85255202,25.7,33,11.20447587
22077,Pointe Coupee Parish,30.7095,-91.6008,Louisiana,9.5,23.80492939,19.2,24.5,10.54185415
40083,Logan County,35.9193,-97.4433,Oklahoma,8.8,40.49416938,22.8,29.4,15.2522222
51101,King William County,37.7066,-77.0885,Virginia,9.4,45.69187324,17.7,25.1,2.859613367
13313,Whitfield County,34.8056,-84.9672,Georgia,12.2,57.01517559,29.8,27.8,13.39429423
48355,Nueces County,27.7254,-97.6134,Texas,11.2,93.22297434,26.9,33.7,9.916718828
54093,Tucker County,39.1136,-79.565,West Virginia,9.6,98.54362134,14.7,23.3,0.917097671
13271,Telfair County,31.9298,-82.939,Georgia,11.7,52.37575758,17.8,24.3,22.20925582
13185,Lowndes County,30.8338,-83.2677,Georgia,14.4,66.57695019,26.9,31.4,8.267756792
45041,Florence County,34.0245,-79.703,South Carolina,13.5,40.21623991,29.2,39,7.474901403
47115,Marion County,35.1293,-85.622,Tennessee,9.8,57.40694833,22.7,28.1,5.1269668
20009,Barton County,38.479,-98.7565,Kansas,10.4,63.90113464,23.5,33,12.51300109
26035,Clare County,43.9879,-84.8478,Michigan,8.8,56.37327815,22.5,30.3,1.324896588
18017,Cass County,40.7615,-86.346,Indiana,10.7,65.51609095,25.6,30.5,2.68531289
47073,Hawkins County,36.4412,-82.9447,Tennessee,9.9,42.80787571,28.5,27.5,6.780527509
5105,Perry County,34.9475,-92.9312,Arkansas,8.9,43.92532312,24.3,29.6,5.305896564
26049,Genesee County,43.0217,-83.7067,Michigan,10.5,77.68266047,25.1,34.8,11.41416915
29077,Greene County,37.258,-93.342,Missouri,10.8,80.40403527,21.5,29.8,7.977344547
37195,Wilson County,35.7051,-77.9187,North Carolina,9.6,66.57434079,24.1,21.6,2.703768272
54099,Wayne County,38.1459,-82.427,West Virginia,13.5,21.26597773,29.4,38.4,10.8288275
36067,Onondaga County,43.0058,-76.1946,New York,9.2,89.60400492,20.2,30.6,6.078860569
27069,Kittson County,48.7766,-96.7829,Minnesota,9,22.25395431,15,25.7,8.101639651
39023,Clark County,39.9168,-83.7838,Ohio,10.5,80.20428965,26,35.2,8.031350353
21085,Grayson County,37.4608,-86.3439,Kentucky,8.9,41.94049561,27.7,37.6,9.559039383
28109,Pearl River County,30.7688,-89.5896,Mississippi,11.4,51.30207401,28.9,33.9,5.719199485
18061,Harrison County,38.1951,-86.1114,Indiana,8.9,37.51143177,25.4,33.7,0.016849713
